  6.6687400000E-04 -3.2699827761E-02 -3.9224102068E-02 -1.3996996725E-02  4.7123066631E-05  9.0854995201E-06 -9.1151726083E-07  6.4740608539E-07 -4.1664492346E-07  2.2429776321E-07
  6.8034500000E-04 -3.4033257823E-02 -4.0822920036E-02 -1.4567053927E-02  5.1005195605E-05  9.7891208010E-06 -1.0143427541E-06  7.4843416413E-07 -4.4640079064E-07  2.5021124064E-07
  6.9408900000E-04 -3.5421110798E-02 -4.2486938641E-02 -1.5160320042E-02  5.5207336119E-05  1.0547763935E-05 -1.1276881380E-06  8.6347982143E-07 -4.7815960793E-07  2.7937970811E-07
  7.0811100000E-04 -3.6865550877E-02 -4.4218746251E-02 -1.5777713345E-02  5.9755714508E-05  1.1365847446E-05 -1.2525094980E-06  9.9433923120E-07 -5.1206033985E-07  3.1223509027E-07
  7.2241600000E-04 -3.8368816170E-02 -4.6021019259E-02 -1.6420183081E-02  6.4678660432E-05  1.2248086628E-05 -1.3898943923E-06  1.1431208498E-06 -5.4816444396E-07  3.4925070195E-07
  7.3700900000E-04 -3.9933220712E-02 -4.7896524436E-02 -1.7088710266E-02  7.0006672813E-05  1.3199450313E-05 -1.5410505526E-06  1.3121681468E-06 -5.8659582843E-07  3.9099999956E-07
  7.5189800000E-04 -4.1561487746E-02 -4.9848518424E-02 -1.7784450041E-02  7.5773886441E-05  1.4225558674E-05 -1.7072849507E-06  1.5041504967E-06 -6.2753968352E-07  4.3817901629E-07
  7.6708700000E-04 -4.3255996520E-02 -5.1879844694E-02 -1.8508409750E-02  8.2015572262E-05  1.5332053843E-05 -1.8900456283E-06  1.7220741776E-06 -6.7114283964E-07  4.9156770722E-07
  7.8258300000E-04 -4.5019544810E-02 -5.3993847664E-02 -1.9261774723E-02  8.8771176380E-05  1.6525513486E-05 -2.0908519848E-06  1.9692873078E-06 -7.1748708303E-07  5.5196988277E-07
  7.9839300000E-04 -4.6855033611E-02 -5.6193994577E-02 -2.0045773441E-02  9.6083447233E-05  1.7813067198E-05 -2.3113903693E-06  2.2496661683E-06 -7.6652301660E-07  6.2026474634E-07
  8.1452100000E-04 -4.8765111243E-02 -5.8483448860E-02 -2.0861525477E-02  1.0399696360E-04  1.9202101176E-05 -2.5533668032E-06  2.5672675427E-06 -8.1848073255E-07  6.9754923574E-07
  8.3097600000E-04 -5.0753116697E-02 -6.0866200774E-02 -2.1710444312E-02  1.1256248629E-04  2.0700982516E-05 -2.8188013134E-06  2.9270271748E-06 -8.7338376883E-07  7.8506541821E-07
  8.4776200000E-04 -5.2821897936E-02 -6.3345650911E-02 -2.2593732570E-02  1.2183209177E-04  2.2318034814E-05 -3.1098794425E-06  3.3344010622E-06 -9.3130156750E-07  8.8427248644E-07
  8.6488800000E-04 -5.4975023208E-02 -6.5926061995E-02 -2.3512899207E-02  1.3186493336E-04  2.4063074575E-05 -3.4289089139E-06  3.7954702489E-06 -9.9231298114E-07  9.9678249198E-07
  8.8236000000E-04 -5.7215810507E-02 -6.8611395504E-02 -2.4469344970E-02  1.4272316376E-04  2.5946192307E-05 -3.7784301235E-06  4.3171552662E-06 -1.0564441047E-06  1.1244798501E-06
  9.0018500000E-04 -5.9547821426E-02 -7.1405903511E-02 -2.5464573168E-02  1.5447466162E-04  2.7978632011E-05 -4.1611633234E-06  4.9072697824E-06 -1.1235292897E-06  1.2694024164E-06
  9.1837000000E-04 -6.1974742502E-02 -7.4313986331E-02 -2.6500138891E-02  1.6719280434E-04  3.0172501190E-05 -4.5800702440E-06  5.5747497790E-06 -1.1933329598E-06  1.4339443695E-06
  9.3692200000E-04 -6.4500388530E-02 -7.7340196364E-02 -2.7577650293E-02  1.8095650894E-04  3.2540642087E-05 -5.0382865505E-06  6.3292570864E-06 -1.2660328469E-06  1.6210034025E-06
  9.5584900000E-04 -6.7128846632E-02 -8.0489410609E-02 -2.8698829918E-02  1.9585193020E-04  3.5097106352E-05 -5.5393038135E-06  7.1819347050E-06 -1.3414685676E-06  1.8337833606E-06
  9.7515900000E-04 -6.9864350641E-02 -8.3766680019E-02 -2.9865460955E-02  2.1197251467E-04  3.7857421194E-05 -6.0868522141E-06  8.1455752773E-06 -1.4190952446E-06  2.0758467238E-06
  9.9485800000E-04 -7.2710993343E-02 -8.7176884625E-02 -3.1079264392E-02  2.2941741060E-04  4.0838133712E-05 -6.6848294356E-06  9.2343301408E-06 -1.4983309273E-06  2.3512494323E-06
  1.0149600000E-03 -7.5674190290E-02 -9.0726486901E-02 -3.2342522935E-02  2.4830036827E-04  4.4058141926E-05 -7.3377340799E-06  1.0463265367E-05 -1.5786755509E-06  2.6642255278E-06
  1.0354600000E-03 -7.8756702243E-02 -9.4418766844E-02 -3.3656385139E-02  2.6871809046E-04  4.7534714308E-05 -8.0497003489E-06  1.1832419061E-05 -1.6598358546E-06  3.0116841353E-06
  1.0563800000E-03 -8.1965479520E-02 -9.8262020267E-02 -3.5023782769E-02  2.9080677903E-04  5.1291093572E-05 -8.8262525865E-06  1.3352615750E-05 -1.7416417661E-06  3.3950852563E-06
  1.0777200000E-03 -8.5304335189E-02 -1.0226078246E-01 -3.6446307615E-02  3.1469263717E-04  5.5349006724E-05 -9.6723439661E-06  1.5038093305E-05 -1.8238036107E-06  3.8175802713E-06
  1.0994900000E-03 -8.8778767761E-02 -1.0642160451E-01 -3.7926266740E-02  3.4052273746E-04  5.9732818200E-05 -1.0594266059E-05  1.6906753337E-05 -1.9055061827E-06  4.2831949717E-06
  1.1217000000E-03 -9.2394477740E-02 -1.1075127623E-01 -3.9466049976E-02  3.6845546389E-04  6.4469403430E-05 -1.1598245806E-05  1.8976629151E-05 -1.9869514625E-06  4.7963458781E-06
  1.1443600000E-03 -9.6157373874E-02 -1.1525683335E-01 -4.1068132274E-02  3.9866215351E-04  6.9587977894E-05 -1.2691067249E-05  2.1267865125E-05 -2.0680236153E-06  5.3618113449E-06
  1.1674800000E-03 -1.0007357894E-01 -1.1994556417E-01 -4.2735075895E-02  4.3132776377E-04  7.5120309418E-05 -1.3879944014E-05  2.3802232161E-05 -2.1487466568E-06  5.9847777853E-06
  1.1910600000E-03 -1.0414769123E-01 -1.2482292803E-01 -4.4468790368E-02  4.6663709673E-04  8.1097985044E-05 -1.5172306053E-05  2.6603656508E-05 -2.2286909916E-06  6.6709694806E-06
  1.2151200000E-03 -1.0838795598E-01 -1.2989874607E-01 -4.6272732900E-02  5.0481938691E-04  8.7559432327E-05 -1.6577815494E-05  2.9700836914E-05 -2.3069213825E-06  7.4268924271E-06
  1.2396700000E-03 -1.1280117371E-01 -1.3518110500E-01 -4.8149740931E-02  5.4610718395E-04  9.4544212056E-05 -1.8105742760E-05  3.3123451669E-05 -2.3835921400E-06  8.2599756595E-06
  1.2647100000E-03 -1.1739253238E-01 -1.4067615687E-01 -5.0101961356E-02  5.9073352643E-04  1.0209262109E-04 -1.9765215827E-05  3.6902737318E-05 -2.4586107538E-06  9.1779548813E-06
  1.2902600000E-03 -1.2217109525E-01 -1.4639468668E-01 -5.2133183655E-02  6.3898308026E-04  1.1025468781E-04 -2.1567313443E-05  4.1070252683E-05 -2.5317539163E-06  1.0187057350E-05
  1.3163300000E-03 -1.2714439823E-01 -1.5234564536E-01 -5.4246541674E-02  6.9115016169E-04  1.1908032246E-04 -2.3523968344E-05  4.5670557868E-05 -2.6022646913E-06  1.1299134962E-05
  1.3429200000E-03 -1.3231827163E-01 -1.5853593713E-01 -5.6444438590E-02  7.4752806812E-04  1.2861911778E-04 -2.5647445609E-05  5.0746801457E-05 -2.6694313903E-06  1.2524954220E-05
  1.3700500000E-03 -1.3770266323E-01 -1.6497738627E-01 -5.8731020345E-02  8.0847009322E-04  1.3893176867E-04 -2.7952555803E-05  5.6339205632E-05 -2.7326647419E-06  1.3871922900E-05
