  1.8127500000E-03  1.1362137325E-02 -2.0360755287E-01 -1.8404714877E-01 -2.0167603369E-01 -1.9347776692E-01
  1.8493700000E-03  1.2085738470E-02 -2.1560938097E-01 -1.9485267104E-01 -2.1352719372E-01 -2.0485622226E-01
  1.8867300000E-03  1.2855457995E-02 -2.2830769797E-01 -2.0628208983E-01 -2.2606329129E-01 -2.1689314114E-01
  1.9248400000E-03  1.3674117035E-02 -2.4174035995E-01 -2.1836909344E-01 -2.3932133942E-01 -2.2962418995E-01
  1.9637300000E-03  1.4545074883E-02 -2.5595211383E-01 -2.3115345236E-01 -2.5334508617E-01 -2.4309149959E-01
  2.0034000000E-03  1.5471291783E-02 -2.7098093245E-01 -2.4466884873E-01 -2.6817158104E-01 -2.5733078911E-01
  2.0438700000E-03  1.6456367796E-02 -2.8687444171E-01 -2.5895761961E-01 -2.8384736264E-01 -2.7238690834E-01
  2.0851600000E-03  1.7504245457E-02 -3.0368601710E-01 -2.7406731306E-01 -3.0042463922E-01 -2.8831018064E-01
  2.1272800000E-03  1.8618508997E-02 -3.2145816473E-01 -2.9003537719E-01 -3.1794472574E-01 -3.0514044720E-01
  2.1702600000E-03  1.9803848302E-02 -3.4025385407E-01 -3.0691787565E-01 -3.3646919350E-01 -3.2293706338E-01
  2.2141000000E-03  2.1064395530E-02 -3.6012611368E-01 -3.2476190358E-01 -3.5604976751E-01 -3.4174995294E-01
  2.2588300000E-03  2.2405037732E-02 -3.8113372602E-01 -3.4361930332E-01 -3.7674363688E-01 -3.6163425192E-01
  2.3044600000E-03  2.3830572289E-02 -4.0333566991E-01 -3.6354226475E-01 -3.9860821513E-01 -3.8264538226E-01
  2.3510100000E-03  2.5346563276E-02 -4.2680325914E-01 -3.8459410509E-01 -4.2171307143E-01 -4.0485048065E-01
  2.3985000000E-03  2.6958653774E-02 -4.5160763566E-01 -4.0683803791E-01 -4.4612748061E-01 -4.2831653663E-01
  2.4469600000E-03  2.8673087164E-02 -4.7781949101E-01 -4.3033601955E-01 -4.7192004825E-01 -4.5310966395E-01
  2.4963900000E-03  3.0495930633E-02 -5.0551494109E-01 -4.5515559882E-01 -4.9916492815E-01 -4.7930151651E-01
  2.5468200000E-03  3.2434241272E-02 -5.3477658283E-01 -4.8136954402E-01 -5.2794235132E-01 -5.0696955379E-01
  2.5982700000E-03  3.4495284343E-02 -5.6569021798E-01 -5.0905356373E-01 -5.5833568209E-01 -5.3619431218E-01
  2.6507600000E-03  3.6686796179E-02 -5.9834588292E-01 -5.3828698477E-01 -5.9043235461E-01 -5.6706025264E-01
  2.7043100000E-03  3.9016951131E-02 -6.3283803298E-01 -5.6915300483E-01 -6.2432404749E-01 -5.9965597046E-01
  2.7589400000E-03  4.1494171073E-02 -6.6925873871E-01 -6.0173229087E-01 -6.6009986912E-01 -6.3406759236E-01
  2.8146700000E-03  4.4127597977E-02 -7.0771796314E-01 -6.3612235986E-01 -6.9786662467E-01 -6.7039861936E-01
  2.8715300000E-03  4.6926913348E-02 -7.4832422220E-01 -6.7241883317E-01 -7.3772933100E-01 -7.0875085533E-01
  2.9295400000E-03  4.9903057034E-02 -7.9119907035E-01 -7.1072807660E-01 -7.7980593794E-01 -7.4923800123E-01
  2.9887200000E-03  5.3066444271E-02 -8.3644488975E-01 -7.5113879570E-01 -8.2419499014E-01 -7.9195534035E-01
  3.0491000000E-03  5.6429680765E-02 -8.8421118963E-01 -7.9378320632E-01 -8.7104175690E-01 -8.3704345436E-01
  3.1106900000E-03  6.0004244262E-02 -9.3461128331E-01 -8.3875959176E-01 -9.2045534829E-01 -8.8460790099E-01
  3.1735300000E-03  6.3803394463E-02 -9.8779875699E-01 -8.8620435090E-01 -9.7258438796E-01 -9.3479337632E-01
  3.2376400000E-03  6.7840461221E-02 -1.0439057944E+00 -9.3623237855E-01 -1.0275561010E+00 -9.8772314639E-01
  3.3030500000E-03  7.2132031105E-02 -1.1031130511E+00 -9.8900150600E-01 -1.0855456868E+00 -1.0435661729E+00
  3.3697700000E-03  7.6691889518E-02 -1.1655322070E+00 -1.0446062192E+00 -1.1466594071E+00 -1.1024253088E+00
  3.4378500000E-03  8.1539225427E-02 -1.2313791756E+00 -1.1032365607E+00 -1.2111066127E+00 -1.1645032232E+00
  3.5073000000E-03  8.6688430212E-02 -1.3008155368E+00 -1.1650372214E+00 -1.2790427221E+00 -1.2299528369E+00
  3.5781500000E-03  9.2158501559E-02 -1.3740018170E+00 -1.2301441209E+00 -1.3506212981E+00 -1.2989221036E+00
  3.6504300000E-03  9.7971446042E-02 -1.4511625658E+00 -1.2987521668E+00 -1.4260594796E+00 -1.3716205266E+00
  3.7241700000E-03  1.0414799866E-01 -1.5324726701E+00 -1.3710100773E+00 -1.5055242769E+00 -1.4482096828E+00
  3.7994100000E-03  1.1071070924E-01 -1.6181907264E+00 -1.4471481985E+00 -1.5892656451E+00 -1.5289338265E+00
  3.8761600000E-03  1.1767841701E-01 -1.7084821242E+00 -1.5273107263E+00 -1.6774406075E+00 -1.6139476266E+00
  3.9544600000E-03  1.2508126335E-01 -1.8036087329E+00 -1.6117182631E+00 -1.7703013431E+00 -1.7034921367E+00
  4.0343500000E-03  1.3294698757E-01 -1.9038073722E+00 -1.7005725719E+00 -1.8680743483E+00 -1.7977865356E+00
  4.1158500000E-03  1.4129990792E-01 -2.0093154438E+00 -1.7940830783E+00 -1.9709866955E+00 -1.8970542379E+00
  4.1989900000E-03  1.5016663587E-01 -2.1204164135E+00 -1.8925024555E+00 -2.0793106045E+00 -2.0015632824E+00
  4.2838200000E-03  1.5958657701E-01 -2.2373915892E+00 -1.9960584118E+00 -2.1933147660E+00 -2.1115681656E+00
  4.3703600000E-03  1.6959289903E-01 -2.3605103116E+00 -2.1049789360E+00 -2.3132561981E+00 -2.2273177215E+00
  4.4586500000E-03  1.8021251768E-01 -2.4900564559E+00 -2.2195219471E+00 -2.4394050079E+00 -2.3490830168E+00
